COH_sample	batch	batch1	batch2	batch3
COH000193_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000194_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000195_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000196_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000197_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000198_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000199_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000200_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000201_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000202_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000203_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000204_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000205_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000206_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000207_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000208_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000209_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000210_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000211_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000212_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000213_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000214_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000215_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000216_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000217_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000218_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000219_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000220_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000221_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000222_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000223_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000224_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000225_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000226_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000227_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000228_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000229_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
COH000230_D1	Stranded_totalRNA_PE100bp	Stranded	totalRNA	PE100bp
