FeatureN	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21
1900	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
1950	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
2000	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
2050	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
2100	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
2150	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2200	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2250	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2300	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2350	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2400	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2450	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
2500	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
2550	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	Hyperdiploid
2600	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2650	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2700	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2750	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2800	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2850	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2900	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
2950	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3000	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3050	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3100	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3150	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3200	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3250	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3300	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3350	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3400	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
3450	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt	PAX5alt
