COH_sample	X	Y	Z	PerplexityN	FeatureN
COH000163_D1	27.121778905313	-25.5962071956662	-10.0091086450954	20	200
COH000164_D1	-0.960734686746602	-11.5632228960966	-32.1468876584908	20	200
COH000165_D1	3.38980783181401	-15.0334873571288	-27.7913624978536	20	200
COH000166_D1	30.9826282118966	26.2607962902033	-3.5392104819219	20	200
COH000167_D1	1.24518698972741	-6.92584003093141	-31.5163520457165	20	200
COH000169_D1	19.3205931145526	-7.11061559190112	44.0314771193039	20	200
COH000171_D1	3.44477597882219	-15.6797995643882	-22.897864049948	20	200
COH000173_D1	-61.9710364330547	2.54101136560553	8.24973252842139	20	200
COH000174_D1	2.84105036318094	-45.3071024661115	7.40668030439762	20	200
COH000176_D1	2.40537068311281	-40.9772699901439	17.2868401335043	20	200
COH000178_D1	16.4095866863976	-5.62934130747378	43.9290557466504	20	200
COH000179_D1	-26.7943364434252	14.6737577666472	-24.5080122459945	20	200
COH000180_D1	28.8947022394	14.5069634666194	-42.1416818759265	20	200
COH000181_D1	14.3648450764408	-3.044650087755	9.29007154282421	20	200
COH000182_D1	1.33294126752397	-14.4646853254834	-26.1374884593996	20	200
COH000183_D1	30.3035197901936	28.973267174469	-2.57534423220872	20	200
COH000184_D1	0.0550050585457725	-7.80857391321675	-36.8203574498847	20	200
COH000185_D1	2.27943983676812	-19.3921289411166	-26.6314098632677	20	200
COH000186_D1	2.79019780728434	-7.28616324085608	-32.0975810393221	20	200
COH000187_D1	-26.0319055123871	15.4158868272632	-24.1706783398335	20	200
COH000188_D1	0.0292531930165582	-7.85481902543357	-36.8036917132267	20	200
COH000189_D1	3.20786310787494	-9.97904006918483	-29.5508974113052	20	200
COH000191_D1	1.75635452236428	-14.6108763611809	-31.255574324964	20	200
COH000192_D1	-52.7589111683102	-3.87042831929168	3.47142219556689	20	200
COH000193_D1	32.7885531495503	20.1942989718362	-41.9411315506304	20	200
COH000194_D1	-16.3531028661361	13.8058801265459	16.5393619749286	20	200
COH000195_D1	32.2060243763556	30.075712219249	0.589141305650302	20	200
COH000196_D1	-2.87548462038501	-17.4454293627807	-24.1830034765451	20	200
COH000197_D1	17.8216890941142	-9.45018685736762	43.1568436316844	20	200
